"idpresence","idseance","idjoueur","idstatutpresence","commentaires"
18,2,12,1,""
19,2,7,1,""
20,2,13,1,""
21,2,11,1,""
22,2,9,1,""
23,2,8,1,""
24,2,10,1,""
25,2,16,1,""
26,2,15,1,""
27,2,14,1,""
504,42,21,2,""
514,42,12,1,""
516,42,40,1,""
519,42,43,1,""
524,42,48,1,""
526,42,19,1,""
531,42,50,1,""
413,23,12,1,""
428,23,17,1,""
432,23,44,1,""
34,9,11,1,""
35,9,13,1,""
37,9,9,1,""
36,9,8,1,""
38,9,15,1,""
39,9,7,1,""
40,9,20,1,""
41,9,10,1,""
42,9,14,1,""
43,9,18,1,""
44,9,16,1,""
45,9,19,1,""
46,9,22,1,""
47,9,21,1,""
48,9,24,1,""
49,9,23,1,""
51,9,17,1,""
52,9,25,1,""
53,9,12,1,""
50,9,26,1,""
54,9,27,1,""
65,2,17,1,""
66,2,19,1,""
67,2,18,1,""
68,2,20,1,""
69,2,25,1,""
70,2,22,1,""
71,2,21,1,""
72,2,23,1,""
73,2,24,1,""
74,2,27,1,""
75,2,26,1,""
76,11,11,1,""
77,11,7,1,""
78,11,10,1,""
79,11,8,1,""
80,11,9,1,""
81,11,12,1,""
82,11,16,1,""
83,11,15,1,""
84,11,13,1,""
85,11,14,1,""
86,11,18,1,""
87,11,21,1,""
88,11,22,1,""
89,11,17,1,""
90,11,25,1,""
91,11,24,1,""
92,11,20,1,""
93,11,23,1,""
94,11,19,1,""
95,11,27,1,""
96,11,26,1,""
172,20,10,1,""
168,20,7,1,""
171,20,11,1,""
169,20,8,1,""
167,20,9,1,""
170,20,13,1,""
173,20,17,1,""
174,20,16,1,""
175,20,19,1,""
176,20,18,1,""
177,20,21,1,""
178,20,20,1,""
179,20,23,1,""
180,20,22,1,""
181,20,26,1,""
182,20,27,1,""
183,22,7,1,""
184,22,8,1,""
185,22,10,1,""
186,22,9,1,""
187,22,11,1,""
188,22,12,1,""
189,22,13,1,""
190,22,18,1,""
191,22,14,1,""
192,22,16,1,""
193,22,19,1,""
194,22,17,1,""
197,22,22,1,""
506,42,22,1,""
508,42,23,1,""
521,42,44,1,""
522,42,17,1,""
530,42,20,2,""
532,42,51,1,""
410,23,7,1,""
414,23,13,1,""
416,23,16,1,""
433,23,43,1,""
207,24,26,1,""
213,24,44,1,""
224,24,14,1,""
229,25,8,1,""
232,25,12,1,""
238,25,15,1,""
253,25,43,1,""
507,42,11,1,""
520,42,42,2,""
529,42,16,1,""
408,23,11,1,""
417,23,18,1,""
419,23,20,1,""
421,23,22,1,""
424,23,25,1,""
202,24,27,1,""
203,24,24,1,""
205,24,9,1,""
208,24,40,1,""
209,24,13,1,""
211,24,42,1,""
212,24,43,1,""
215,24,10,1,""
217,24,12,1,""
218,24,17,1,""
219,24,16,1,""
221,24,18,1,""
230,25,9,1,""
233,25,13,1,""
234,25,10,1,""
237,25,18,1,""
241,25,21,1,""
242,25,17,1,""
243,25,22,1,""
244,25,23,1,""
246,25,24,1,""
247,25,25,1,""
248,25,40,1,""
250,25,27,1,""
251,25,42,1,""
222,24,19,1,""
226,24,23,1,""
505,42,9,1,""
510,42,24,1,""
511,42,8,1,""
515,42,13,1,""
518,42,15,1,""
525,42,14,1,""
411,23,10,1,""
415,23,15,1,""
429,23,23,1,""
528,42,18,1,""
225,24,21,1,""
206,24,8,1,""
204,24,25,1,""
210,24,41,1,""
214,24,7,1,""
216,24,11,1,""
220,24,15,1,""
228,25,7,1,""
231,25,11,1,""
235,25,16,1,""
236,25,14,1,""
239,25,20,1,""
240,25,19,1,""
245,25,26,1,""
249,25,41,1,""
252,25,44,1,""
223,24,20,1,""
227,24,22,1,""
503,42,7,1,""
509,42,25,1,""
512,42,26,1,""
513,42,27,1,""
517,42,41,2,""
523,42,47,1,""
412,23,8,1,""
422,23,14,1,""
425,23,26,1,""
427,23,40,1,""
430,23,42,1,""
527,42,10,1,""
409,23,9,1,""
418,23,19,1,""
420,23,21,1,""
423,23,24,2,""
426,23,27,1,""
431,23,41,1,""
438,20,14,2,""
440,20,44,2,""
477,31,11,2,""
492,31,22,2,""
501,31,44,1,""
199,22,23,1,""
201,22,27,1,""
434,20,43,2,""
482,31,13,2,""
485,31,12,1,""
489,31,19,2,""
496,31,23,2,""
499,31,40,2,""
436,20,42,1,""
