"idseance","idclub","idtypeseance","dateseance","heuredebut","heurefin","lieu","objectif","bilan","idstatutseance"
9,1,1,2025-09-04,07:30:00,09:00:00,Sissi By-Pass,"","",2
11,1,1,2025-09-05,07:30:00,09:00:00,Sissi By-Pass,"","",2
20,1,1,2025-09-13,07:30:00,09:00:00,CFFA,"","",2
23,1,2,2025-09-14,14:00:00,14:30:00,Betongolo,"","",2
24,1,2,2025-09-06,11:00:00,11:30:00,Betongolo,"","",2
25,1,2,2025-09-07,14:00:00,14:30:00,Betongolo,"","",2
30,1,1,2025-10-11,08:00:00,09:30:00,CFFA,"","",2
31,1,1,2025-10-18,06:30:00,08:00:00,CFFA,"","",2
2,1,1,2025-09-03,07:30:00,09:00:00,Sissi By-Pass,"","",2
22,1,2,2025-09-14,09:00:00,09:30:00,Betongolo,"","",2
42,1,1,2025-10-25,07:00:00,08:00:00,CFFA,"","",2
